time_iso,epoch_ms,device_ms,gyro_x,gyro_y,gyro_z,mode,recording_label,phase
2026-09-26T11:04:36.146Z,1790420676146,47,0.026,-0.006,0.013,train,"",waiting
2026-09-26T11:04:36.193Z,1790420676193,94,-0.02,-0.021,0.008,train,"",waiting
2026-09-26T11:04:36.240Z,1790420676240,141,0.024,0.002,-0.026,train,"",waiting
2026-09-26T11:04:36.288Z,1790420676288,189,-0.027,0.021,-0.013,train,"",waiting
2026-09-26T11:04:36.335Z,1790420676335,236,-0.022,0.023,-0.021,train,"",waiting
2026-09-26T11:04:36.382Z,1790420676382,283,-0.018,-0.03,-0.026,train,"",waiting
2026-09-26T11:04:36.428Z,1790420676428,329,-0.02,-0.024,-0.014,train,"",waiting
2026-09-26T11:04:36.475Z,1790420676475,376,-0.005,0.016,0.02,train,"",waiting
2026-09-26T11:04:36.523Z,1790420676523,424,-0.029,-0.014,-0.018,train,"",waiting
2026-09-26T11:04:36.570Z,1790420676570,471,-0.03,-0.023,-0.017,train,"",waiting
2026-09-26T11:04:36.617Z,1790420676617,518,0.008,0.022,0.009,train,"",waiting
2026-09-26T11:04:36.663Z,1790420676663,564,0.004,0.007,-0.005,train,"",waiting
2026-09-26T11:04:36.710Z,1790420676710,611,-0.016,0.009,-0.024,train,"",waiting
2026-09-26T11:04:36.757Z,1790420676757,658,-0.019,-0.007,-0.002,train,"",waiting
2026-09-26T11:04:36.802Z,1790420676802,703,0.008,-0.004,0.014,train,"",waiting
2026-09-26T11:04:36.849Z,1790420676849,750,-0.013,-0.018,-0.023,train,"",waiting
2026-09-26T11:04:36.896Z,1790420676896,797,0.029,0.02,-0.018,train,"",waiting
2026-09-26T11:04:36.942Z,1790420676942,843,-0.021,0.024,0.018,train,"",waiting
2026-09-26T11:04:36.989Z,1790420676989,890,-0.019,0.022,0.027,train,"",waiting
2026-09-26T11:04:37.036Z,1790420677036,937,-0.008,0.029,0,train,"",waiting
2026-09-26T11:04:37.083Z,1790420677083,984,-0.029,-0.023,-0.019,train,"",waiting
2026-09-26T11:04:37.129Z,1790420677129,1030,0.006,0.03,0.007,train,"",waiting
2026-09-26T11:04:37.177Z,1790420677177,1077,-0.002,0.012,-0.002,train,"",waiting
2026-09-26T11:04:37.223Z,1790420677223,1124,0.001,-0.019,0.026,train,"",waiting
2026-09-26T11:04:37.270Z,1790420677270,1171,0.017,-0.007,0.006,train,"",waiting
2026-09-26T11:04:37.316Z,1790420677316,1217,-0.001,0.022,-0.019,train,"",waiting
2026-09-26T11:04:37.363Z,1790420677363,1264,-0.016,-0.022,0.022,train,"",waiting
2026-09-26T11:04:37.411Z,1790420677411,1312,0.023,0.008,-0.016,train,"",waiting
2026-09-26T11:04:37.458Z,1790420677458,1359,-0.005,-0.009,0.017,train,"",waiting
2026-09-26T11:04:37.504Z,1790420677504,1405,0.024,-0.029,0.011,train,"",waiting
2026-09-26T11:04:37.551Z,1790420677551,1452,-0.011,-0.003,-0.003,train,"",waiting
2026-09-26T11:04:37.598Z,1790420677598,1499,-0.011,0.015,-0.022,train,"",waiting
2026-09-26T11:04:37.644Z,1790420677644,1545,0.01,0.029,0.014,train,"",waiting
2026-09-26T11:04:37.690Z,1790420677690,1591,-0.024,-0.002,0.022,train,"",waiting
2026-09-26T11:04:37.737Z,1790420677737,1638,-0.013,-0.022,-0.003,train,"",waiting
2026-09-26T11:04:37.784Z,1790420677784,1685,0.007,-0.017,-0.006,train,"",waiting
2026-09-26T11:04:37.830Z,1790420677830,1731,0.003,0.017,-0.009,train,"",waiting
2026-09-26T11:04:37.878Z,1790420677878,1779,-0.026,-0.002,0.007,train,"",waiting
2026-09-26T11:04:37.926Z,1790420677926,1826,-0.007,-0.018,-0.019,train,"",waiting
