time_iso,epoch_ms,device_ms,gyro_x,gyro_y,gyro_z,mode,recording_label,phase
2026-09-23T10:34:44.209Z,1790159684209,,-0.09,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.250Z,1790159684250,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.293Z,1790159684293,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.337Z,1790159684337,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.379Z,1790159684379,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.422Z,1790159684422,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.465Z,1790159684465,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.508Z,1790159684508,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.552Z,1790159684552,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.594Z,1790159684594,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.637Z,1790159684637,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.680Z,1790159684680,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.724Z,1790159684724,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.767Z,1790159684767,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.809Z,1790159684809,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.853Z,1790159684853,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.895Z,1790159684895,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.938Z,1790159684938,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:44.981Z,1790159684981,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:45.024Z,1790159685024,,-0.1,0.02,0.05,recognize,"",waiting
2026-09-23T10:34:45.067Z,1790159685067,,-0.1,0.02,0.05,recognize,"",waiting
