time_iso,epoch_ms,device_ms,gyro_x,gyro_y,gyro_z,mode,recording_label,phase
2026-09-24T04:37:43.497Z,1790224663497,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.538Z,1790224663538,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.581Z,1790224663581,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.624Z,1790224663624,,-0.1,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.667Z,1790224663667,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.711Z,1790224663711,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.753Z,1790224663753,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.797Z,1790224663797,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.839Z,1790224663839,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.882Z,1790224663882,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:43.925Z,1790224663925,,-0.09,0.02,0.05,train,"",waiting
2026-09-24T04:37:51.543Z,1790224671543,,-0.13,0.06,0.03,train,"",waiting
2026-09-24T04:37:51.586Z,1790224671586,,-0.12,0.08,0,train,"",waiting
2026-09-24T04:37:51.630Z,1790224671630,,-0.12,0.07,0.08,train,"",waiting
2026-09-24T04:37:51.672Z,1790224671672,,-0.08,0.04,0.09,train,"",waiting
2026-09-24T04:37:51.715Z,1790224671715,,-0.08,0.03,0.06,train,"",waiting
2026-09-24T04:37:51.758Z,1790224671758,,-0.09,0,0.06,train,"",waiting
2026-09-24T04:37:51.801Z,1790224671801,,-0.11,0.03,0.01,train,"",waiting
2026-09-24T04:37:51.844Z,1790224671844,,-0.12,0.06,0.06,train,"",waiting
2026-09-24T04:37:51.887Z,1790224671887,,-0.08,0.04,0.04,train,"",waiting
2026-09-24T04:37:51.930Z,1790224671930,,-0.09,0.02,0.04,train,"",waiting
2026-09-24T04:37:51.973Z,1790224671973,,-0.1,0.02,0.08,train,"",waiting
2026-09-24T04:37:52.017Z,1790224672017,,-0.11,0.05,0.03,train,"",waiting
2026-09-24T04:37:52.059Z,1790224672059,,-0.12,0.06,0.05,train,"",waiting
2026-09-24T04:37:52.102Z,1790224672102,,-0.09,0.07,0.08,train,"",waiting
2026-09-24T04:37:52.145Z,1790224672145,,-0.11,0.13,0.14,train,"",waiting
2026-09-24T04:37:52.188Z,1790224672188,,-0.11,0.13,0.16,train,"",waiting
2026-09-24T04:37:52.232Z,1790224672232,,-0.1,0.03,0.03,train,"",waiting
2026-09-24T04:37:52.274Z,1790224672274,,-0.13,0.03,0.05,train,"",waiting
2026-09-24T04:37:52.317Z,1790224672317,,-0.13,0,0.03,train,"",waiting
2026-09-24T04:37:52.361Z,1790224672361,,-0.11,-0.01,0.03,train,"",waiting
2026-09-24T04:37:52.403Z,1790224672403,,-0.11,0.05,0.05,train,"",waiting
2026-09-24T04:37:52.446Z,1790224672446,,-0.08,0.03,0.06,train,"",waiting
2026-09-24T04:37:52.490Z,1790224672490,,-0.09,0.04,0.03,train,"",waiting
2026-09-24T04:37:52.532Z,1790224672532,,-0.12,0.06,0.05,train,"",waiting
2026-09-24T04:37:52.575Z,1790224672575,,-0.1,0,0.02,train,"",waiting
2026-09-24T04:37:52.618Z,1790224672618,,-0.11,-0.01,0.04,train,"",waiting
2026-09-24T04:37:52.661Z,1790224672661,,-0.12,0.06,0.07,train,"",waiting
2026-09-24T04:37:52.704Z,1790224672704,,-0.11,0.03,-0.01,train,"",waiting
2026-09-24T04:37:52.747Z,1790224672747,,-0.12,0.06,0.02,train,"",waiting
2026-09-24T04:37:52.790Z,1790224672790,,-0.12,0.05,0.01,train,"",waiting
2026-09-24T04:37:52.834Z,1790224672834,,-0.1,-0.01,0.05,train,"",waiting
2026-09-24T04:37:52.876Z,1790224672876,,-0.11,0.01,0.03,train,"",waiting
2026-09-24T04:37:52.919Z,1790224672919,,-0.11,0.01,0.04,train,"",waiting
2026-09-24T04:37:52.962Z,1790224672962,,-0.1,0.02,0.04,train,"",waiting
2026-09-24T04:37:53.005Z,1790224673005,,-0.09,0.04,0.05,train,"",waiting
2026-09-24T04:37:53.048Z,1790224673048,,-0.09,0.02,0.06,train,"",waiting
2026-09-24T04:37:53.091Z,1790224673091,,-0.1,0.02,0.04,train,"",waiting
2026-09-24T04:37:53.134Z,1790224673134,,-0.11,0.01,0.07,train,"",waiting
2026-09-24T04:37:53.177Z,1790224673177,,-0.11,0.02,0.06,train,"",waiting
2026-09-24T04:37:53.220Z,1790224673220,,-0.1,0.05,0.07,train,"",waiting
2026-09-24T04:37:53.263Z,1790224673263,,-0.09,0.04,0.08,train,"",waiting
2026-09-24T04:37:53.306Z,1790224673306,,-0.12,0.06,0.08,train,"",waiting
2026-09-24T04:37:53.349Z,1790224673349,,-0.12,0.06,0.03,train,"",waiting
2026-09-24T04:37:53.392Z,1790224673392,,-0.12,0,0.07,train,"",waiting
2026-09-24T04:37:53.435Z,1790224673435,,-0.17,0.04,0.03,train,"",waiting
2026-09-24T04:37:53.479Z,1790224673479,,-0.24,0.22,0.11,train,"",active
2026-09-24T04:37:53.521Z,1790224673521,,-0.29,0.7,0.37,train,"",active
2026-09-24T04:37:53.564Z,1790224673564,,-0.33,1.6,0.93,train,"",active
2026-09-24T04:37:53.607Z,1790224673607,,-0.58,2.24,0.67,train,"",active
2026-09-24T04:37:53.651Z,1790224673651,,-1.08,2.26,0.18,train,"",active
2026-09-24T04:37:53.693Z,1790224673693,,-1.62,2.66,1,train,"",active
2026-09-24T04:37:53.737Z,1790224673737,,-1.65,2.79,0.26,train,"",active
2026-09-24T04:37:53.779Z,1790224673779,,-1.5,3.05,-0.29,train,"",active
2026-09-24T04:37:53.822Z,1790224673822,,-1.67,2.16,0.01,train,"",active
2026-09-24T04:37:53.865Z,1790224673865,,-0.79,0.39,-0.11,train,"",active
2026-09-24T04:37:53.908Z,1790224673908,,-0.03,-0.91,-0.52,train,"",active
2026-09-24T04:37:53.952Z,1790224673952,,0.08,-1.04,-0.7,train,"",active
2026-09-24T04:37:53.995Z,1790224673995,,0.16,-1.07,-1.13,train,"",active
2026-09-24T04:37:54.037Z,1790224674037,,1.18,-2.08,-2.23,train,"",active
2026-09-24T04:37:54.080Z,1790224674080,,2.17,-3.45,-4.08,train,"",active
2026-09-24T04:37:54.123Z,1790224674123,,1.6,-3.44,-3.36,train,"",active
2026-09-24T04:37:54.166Z,1790224674166,,1.34,-3.64,-3.75,train,"",active
2026-09-24T04:37:54.209Z,1790224674209,,1.24,-3.13,-2.61,train,"",active
2026-09-24T04:37:54.252Z,1790224674252,,1.01,-2.59,-1.11,train,"",active
2026-09-24T04:37:54.296Z,1790224674296,,1.07,-2.41,-0.26,train,"",active
2026-09-24T04:37:54.339Z,1790224674339,,0.53,-1.73,1.13,train,"",active
2026-09-24T04:37:54.381Z,1790224674381,,0.52,-1.11,1.34,train,"",active
